DISCIPLINE,PO WORK TYPE,PO NO,PO SUBJECT,PO DATE,PO REVISION,PO VEND NAME,ITEM COUNT,PO CDD,PO DESTINATION,BUYER,EXPEDITOR,PDF FLAG,REMARKS
ELECTRICAL,Main Work,P-BIFP-EL36-149,MATERIAL TAKE-OFF FOR EARTHING,20-FEB-19,0,Extol International FZC,102,30-Jul-2019,Bab Site,,Shurjeel,N,
ELECTRICAL,Main Work,P-BIFP-EL37-150,INDOOR LIGHTING,28-MAR-19,0,Shenzhen Topmost Lighting Technology Co Ltd,82,30-Jul-2019,,,Admin,N,
ELECTRICAL,Main Work,P-BIFP-EL37-150A,INDOOR LIGHTING,15-DEC-19,0,Warom Technology Incorporated Company,4,30-Mar-2020,,,Admin,N,
ELECTRICAL,Main Work,P-BIFP-EL38-151,OUTDOOR LIGHTING,02-APR-19,0,Warom Technology Incorporated Company,87,31-Aug-2019,,,Admin,N,
ELECTRICAL,Main Work,P-BIFP-EL39-154, BULK MATERIAL - ELECTRICAL,31-MAR-19,0,Rexel Emirates LLC,170,30-Sep-2019,Bab Site,,Shurjeel,N,
ELECTRICAL,Pre Work,P-BIFP-EL40-155,TERMINATION KITS  CABLE GLANDS AND LUGS,21-MAR-19,0,R&M SN Electrical FZCO,360,30-Jul-2019,Bab Site,,Shurjeel,N,
HVAC,,P-BIFP-HV01-125,Supply and Delivery of HVAC System,06-JAN-19,A,SKM Air Conditioning L.L.C,573,18-Aug-2019,SKM Sharjah / UAE,,Rajesh,N,
INSTRUMENTATION,Main Work,P-BIFP-IC01-015,Surface Safety Valves,07-AUG-18,0,M/s Valvitalia S.P.A – Vitas Division,119,30-Apr-2019,Genoa or Venice Port  Italy,Pavin,Bhavin,N,
INSTRUMENTATION,Main Work,P-BIFP-IC02-16,HIGH INTEGRITY PRESSURE PROTECTION SYSTEMS ,29-AUG-18,A,ATV HIPPS srl,85,22-Apr-2019,Genoa Port  Italy,Pavin,Shurjeel,N,
INSTRUMENTATION,Main Work,P-BIFP-IC04-78,Well Head Control Panel for On and Off PAD,10-AUG-18,A,HABU,90,02-Apr-2019,Jebel Ali HABU Facility,Nan Xiangpeng,Shurjeel,N,
INSTRUMENTATION,Main Work,P-BIFP-IC05-079,Control and Self Regulating Valves,12-SEP-18,A,VBG Intech Valves Manufacturing L.L.C,373,24-Apr-2019,VBG Intech Factory  Dubai  UAE,Rakesh,Bhavin,N,
INSTRUMENTATION,Main Work,P-BIFP-IC06-080,Motorized Choke Valve,27-AUG-18,A,Severn Glocon India Private Limited,100,31-May-2019,BAB Project Site,Wei,Bhavin,N,
INSTRUMENTATION,Main Work,P-BIFP-IC07-75,Fire and Gas Devices,20-DEC-18,0,Ali & Sons Oil Field Supplies & Services Company - Sole Proprietorship. L.L.C / Sulzer Pumps Middle ,2943,30-May-2019,Poole UK,Pavin,Shurjeel,N,
